disease,standardized_disease_name,standardized_disease_name_alt,disease_group,disease_order,disease_family,disease_genus,disease_species,disease_abbreviation,disease_details,disease_details1,disease_details2,disease_vector
high pathogenicity avian influenza es,highly pathogenic avian influenza,hpai,virus,Articulavirales,Influenza A virus,Alphainfluenzavirus,Influenza A virus,HPAI,RNA,single-stranded,NA,NA
highly pathogenic avian influenza,highly pathogenic avian influenza,hpai,virus,Articulavirales,Influenza A virus,Alphainfluenzavirus,Influenza A virus,HPAI,RNA,single-stranded,negative-sense,NA
hpai,highly pathogenic avian influenza,highly pathogenic avian influenza,virus,Articulavirales,Influenza A virus,Alphainfluenzavirus,Influenza A virus,HPAI,RNA,single-stranded,negative-sense,NA
infectious bovine rhinotracheitis,infectious bovine rhinotracheitis,NA,virus,Herpesvirales,Herpesviridae,Varicellovirus,Bovine alphaherpesvirus 1,BoHV-1,DNA,double-stranded,NA,NA
infectious bursal disease,infectious bursal disease,Gumboro disease,virus,incertae sedis,Birnaviridae,Avibirnavirus,Infectious bursal disease virus,IBDV,RNA,double-stranded,NA,NA
infectious haematopoietic necrosis,infectious haematopoietic necrosis,NA,virus,Mononegavirales,Rhabdoviridae,Novirhabdovirus,Salmonid novirhabdovirus,IHNV,RNA,single-stranded,negative-sense,NA
infectious hypodermal and hematopoietic necrosis ihhn,infectious hypodermal and hematopoietic necrosis ihhn,NA,virus,Piccovirales,Parvoviridae,Penstylhamaparvovirus,Decapod penstylhamaparvovirus 1,IHHNV,DNA,single-stranded,NA,NA
infectious myonecrosis,infectious myonecrosis,Gas gangrene,bacteria,Clostridiales,Clostridiaceae,Clostridium,NA,NA,gram-positive,anaerobe,NA,na
infectious pancreatic necrosis,infectious pancreatic necrosis,NA,virus,incertae sedis,Birnaviridae,Aquabirnavirus,Infectious pancreatic necrosis virus,IPNV,RNA,double-stranded,NA,na
infectious salmon anaemia,infectious salmon anaemia,NA,virus,Articulavirales,Orthomyxoviridae,Isavirus,Salmon isavirus,ISA,RNA,single-stranded,negative-sense,NA
infectious spleen and kidney necrosis,infectious spleen and kidney necrosis,NA,virus,Pimascovirales,Iridoviridae,Megalocytivirus,Infectious spleen and kidney necrosis virus,ISKNV,DNA,double-stranded,NA,NA
influenza a,influenza a,NA,virus,Articulavirales,Influenza A virus,Alphainfluenzavirus,Influenza A virus,NA,RNA,single-stranded,negative-sense,NA
influenza a es of high pathogenicity,highly pathogenic avian influenza,hpai,virus,Articulavirales,Influenza A virus,Alphainfluenzavirus,Influenza A virus,HPAI,RNA,single-stranded,negative-sense,NA
koi herpes disease,koi herpesvirus disease,koi herpesvirus disease,virus,Herpesvirales,Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus 3,KHV,DNA,double-stranded,NA,NA
koi herpesvirus disease,koi herpesvirus disease,koi herpes disease,virus,Herpesvirales,Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus 3,KHV,DNA,double-stranded,NA,NA
leishmaniosis,leishmaniasis,Leishmaniasis,eukaryote,Trypanosomatida,Trypanosomatidae,Leishmania,NA,NA,excavate,NA,NA,sandflies
low pathogenic avian influenza,low pathogenic avian influenza,NA,virus,Articulavirales,Influenza A virus,Alphainfluenzavirus,Influenza A virus,NA,RNA,single-stranded,negative-sense,NA
lumpy skin disease,lumpy skin disease,Neethling virus,virus,Chitovirales,Poxviridae,Capripoxvirus,Lumpy skin disease virus,LSDV,DNA,double-stranded,NA,NA
maedi visna,maedi visna,NA,virus,Ortervirales,Retroviridae,Lentivirus,Visna virus,VMV,RNA,single-stranded,positive-sense,NA
malignant catarrhal fever,malignant catarrhal fever,snotsiekte,virus,Herpesvirales,Herpesviridae,Macavirus,NA,NA,DNA,double-stranded,NA,NA
marteilia refringens,marteilia refringens,NA,eukaryote,Paramyxida,Marteiliidae,Marteilia,efringens,NA,protozoan,NA,NA,NA
mikrocytos mimicus n. sp.,mikrocytos mimicus n. sp.,NA,eukaryote,Mikrocytida,Mikrocytidae,Mikrocytos,mimicus,NA,rhizaria,NA,NA,NA
mycobacterium tuberculosis,mycobacterium tuberculosis,NA,bacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,tuberculosis,NA,gram-resistant,aerobe,NA,NA
mycoplasma infection,mycoplasma infection,NA,bacteria,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,NA,NA,gram-negative,facultative anaerobe,NA,NA
myxoma virus,myxoma virus,NA,virus,Chitovirales,Poxviridae,Leporipoxvirus,Myxoma virus,MV,DNA,double-stranded,NA,NA
new disease in rainbow trout,new disease in rainbow trout,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
newcastle disease,newcastle disease,NA,virus,Mononegavirales,Paramyxoviridae,Orthoavulavirus,Avian orthoavulavirus 1,NDV,RNA,single-stranded,negative-sense,NA
nodavirus,nodavirus,NA,virus,Nodamuvirales,Nodaviridae,NA,NA,NA,RNA,single-stranded,positive-sense,NA
