disease,standardized_disease_name,source,alt,group,order,family,genus,species,abbreviation,details,details1,details2,vector
xenohaliotis californiensis,xenohaliotis californiensis,oie,,bacteria,Rickettsiales,Rickettsiaceae,Candidatus,Xenohaliotis californiensis,,gram-negative,aerobe,obligate intracellular,
Yellow Fever,yellow fever,aido,,virus,Amarillovirales,Flaviviridae,Flavivirus,Yellow fever virus,YFV,RNA,single-stranded,positive-sense,mosquito
Zika,zika,aido,,virus,Amarillovirales,Flaviviridae,Flavivirus,Zika virus,ZIKV,RNA,single-stranded,positive-sense,mosquito
bovine anaplasmosis,bovine anaplasmosis,oie,,bacteria,Rickettsiales,Ehrlichiaceae,Anaplasma,,,gram-negative,aerobe,obligate intracellular,
bovine babesiosis,bovine babesiosis,oie,piroplasmosis,eukaryote,Piroplasmida,,,,,alveolate,,,
bovine spongiform encephalopathy,bovine spongiform encephalopathy,oie,mad cow disease,prion,,,,,,,,,
coronavirus,coronavirus,oie,,virus,Nidovirales,Coronaviridae,,,,RNA,single-stranded,positive-sense,
Ebola,ebola,aido,,virus,Mononegavirales,Filoviridae,Ebolavirus,,,RNA,single-stranded,negative-sense,
echinococcosis,echinococcosis,oie,,eukaryote,Cyclophyllidea,Taeniidae,Echinococcus,,,platyhelminth,,,
equine encephalitis,equine encephalitis,oie,,virus,Martellivirales,Togaviridae,Alphavirus,,,RNA,single-stranded,positive-sense,
equine herpes virus,equine herpes virus,oie,,virus,Herpesvirales,Herpesviridae,,,,DNA,double-stranded,,
equine piroplasmosis,equine piroplasmosis,oie,piroplasmosis,eukaryote,Piroplasmida,,,,,alveolate,,,
Gastroenteritis,gastroenteritis,aido,,NA,,,,,,giardia?,cryptosporidium?,rotavirus?,
herpesvirus,herpesvirus,oie,,virus,Herpesvirales,Herpesviridae,,,,DNA,double-stranded,,
infectious myonecrosis,infectious myonecrosis,oie,Gas gangrene,bacteria,Clostridiales,Clostridiaceae,Clostridium,,,gram-positive,anaerobe,,na
Leishmaniasis,leishmaniasis,aido,leishmaniosis,eukaryote,Trypanosomatida,Trypanosomatidae,Leishmania,,,excavate,,,sandflies
leishmaniosis,leishmaniasis,oie,Leishmaniasis,eukaryote,Trypanosomatida,Trypanosomatidae,Leishmania,,,excavate,,,sandflies
Malaria,malaria,aido,,eukaryote,Haemospororida,Plasmodiidae,Plasmodium,,,alveolate,,,mosquito
malignant catarrhal fever,malignant catarrhal fever,oie,snotsiekte,virus,Herpesvirales,Herpesviridae,Macavirus,,,DNA,double-stranded,,
mycoplasma infection,mycoplasma infection,oie,,bacteria,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,,,gram-negative,facultative anaerobe,,
new disease in rainbow trout,new disease in rainbow trout,oie,,,,,,,,,,,
nodavirus,nodavirus,oie,,virus,Nodamuvirales,Nodaviridae,,,,RNA,single-stranded,positive-sense,
ovine contagious epididymitis,ovine contagious epididymitis,oie,,bacteria,,,,,,,,,
parasitic gastroenteritis,parasitic gastroenteritis,oie,,eukaryote,,,,,,giardia?,cryptosporidium?,,
poxvirus,poxvirus,oie,,virus,Chitovirales,Poxviridae,,,,DNA,double-stranded,,
"primary screwworm, new world screwworm","primary screwworm, new world screwworm",oie,,eukaryote,Diptera,Calliphoridae,Cochliomyia,,,insecta,,,
rabies,rabies,oie,,virus,Mononegavirales,Rhabdoviridae,Lyssavirus,,,RNA,single-stranded,negative-sense,
rana,rana,oie,ranavirus,virus,Iridoviridae,Alphairidovirinae,Ranavirus,,,DNA,double-stranded,,
Salmonellosis,salmonellosis,aido,,bacteria,Enterobacterales,Enterobacteriaceae,Salmonella,,,gram-negative,facultative anaerobe,,
scrapie,scrapie,oie,,prion,,,,,,,,,
Shigellosis,shigellosis,aido,,bacteria,Enterobacterales,Enterobacteriaceae,Shigella,,,gram-negative,facultative anaerobe,,
trichinellosis,trichinellosis,oie,,eukaryote,Trichocephalida,Trichinellidae,Trichinella,,,nematode,,,
trypanosomiasis,trypanosomiasis,oie,,eukaryote,Trypanosomatida,Trypanosomatidae,Trypanosoma,,,,,,"flies,triatome bugs"
